Designator,Footprint,Value,Quantity,LCSC Part #
"C1,C3,C4,C5,C6,C7,C9,C16,C17,C42",C0402,100nF,10,C1525
F1,F0805,1A resettable fuse,1,C70061
"R6,R7,R8,R9,R10",R0402,1k,5,C11702
"R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22",R0402,10k,12,C25744
Y1,CRYSTAL-SMD_L5.0-W3.2,8MHz,1,C115962
"C10,C14",C0402,1uF,2,C52923
FB1,L0805,100R@100MHz,1,C1015
U2,LQFP-48_L7.0-W7.0-P0.50-LS9.0-BL,AT32F403ACGT7,1,C55058656
"U3,U4",SOIC-14_L8.7-W3.9-P1.27-LS6.0-BL,SN74LS07DR,2,C371970
U5,SOT-223_L6.5-W3.5-P2.30-LS7.0-BR,AMS1117-3.3,1,C6186
"C2,C13,C15",C0603,10uF,3,C19702
C8,C0402,4.7nF,1,C1538
"C11,C12",C0603,30pF,2,C1658
D1,SOD-123F_L2.8-W1.8-LS3.7-RD,SMF5.0A TVS,1,C151296
R3,R0402,1MΩ,1,C26083
"R4,R5",R0402,22R,2,C25092
"R23,R24,R25",R0603,2.4kΩ,3,C22940
J3,USB-C-SMD_TYPE-C-16PIN-2MD-073,TYPE-C 16PIN 2MD(073),1,C2765186
D2,AK_LED0805,Red power LED,1,C84256
D3,AK_LED0805,Green activity LED,1,C2297
"R1,R2,R26",R0402,5.1kΩ,3,C25905
U1,SOT-666-6_L1.6-W1.2-P0.50-LS1.6-BR,USBLC6-2P6,1,C15999
