Designator,Mid X,Mid Y,Layer,Rotation
C1,244.48mm,336.93mm,T,0
C2,240.67mm,336.42mm,T,0
C3,239.77mm,334.53mm,T,270
C4,285.12mm,359.28mm,T,90
C5,279.65mm,351.92mm,T,0
C6,270.76mm,354.2mm,T,270
C7,273.05mm,362.97mm,T,180
C8,233.05mm,348.11mm,T,180
C9,281.81mm,359.28mm,T,90
C10,281.81mm,354.46mm,T,270
C11,291.34mm,355.98mm,T,90
C12,291.34mm,359.03mm,T,270
C13,260.73mm,332.11mm,T,45
C14,251.28mm,331.47mm,T,180
C15,250.88mm,328.3mm,T,180
C16,276.47mm,330.84mm,T,0
C17,296.79mm,330.84mm,T,0
C42,240.38mm,344.27mm,T,0
D1,243.97mm,339.73mm,T,90
D2,241.81mm,349.5mm,T,270
D3,241.81mm,352.55mm,T,270
F1,240.67mm,340.74mm,T,0
FB1,240.77mm,338.58mm,T,180
J3,235.33mm,342.65mm,T,270
R1,234.82mm,348.11mm,T,180
R2,234.82mm,337.19mm,T,180
R3,233.05mm,337.19mm,T,180
R4,245.75mm,342.14mm,T,180
R5,245.75mm,343.65mm,T,180
R6,293.75mm,327.41mm,T,270
R7,270.89mm,327.41mm,T,270
R8,268.35mm,327.41mm,T,270
R9,265.81mm,327.41mm,T,270
R10,263.27mm,327.41mm,T,270
R11,293.75mm,329.95mm,T,90
R12,291.21mm,329.95mm,T,90
R13,288.67mm,329.95mm,T,90
R14,289.94mm,329.95mm,T,90
R15,292.48mm,329.95mm,T,90
R16,295.02mm,329.95mm,T,90
R17,273.43mm,329.95mm,T,90
R18,270.89mm,329.95mm,T,90
R19,268.35mm,329.95mm,T,90
R20,269.62mm,329.95mm,T,90
R21,272.16mm,329.95mm,T,90
R22,274.7mm,329.95mm,T,90
R23,259.84mm,324.45mm,T,270
R24,258.45mm,324.45mm,T,90
R25,245.49mm,346.58mm,T,90
R26,246.89mm,346.28mm,T,90
U1,239.95mm,342.9mm,T,0
U2,276.3mm,357.51mm,T,90
U3,292.48mm,335.03mm,T,180
U4,272.16mm,335.03mm,T,180
U5,254.48mm,335.03mm,T,180
Y1,288.67mm,357.51mm,T,90
